     X         dX           Y        dY
    0.3899    0.08912    -4.0382    0.20284 
  -0.0419    0.24092    -4.0547    0.21070 
    0.0150    0.21130    -5.0098    1.89993 
   -0.1711    0.32437    -4.5289    0.62787 
    0.1535    0.15360    -4.1430    0.25819 
   -0.1806    0.33149    -3.8700    0.13771 
   -0.0557    0.24870    -4.0193    0.19418 
    0.5643    0.05965    -4.1450    0.25936 
    0.4246    0.08229    -3.9849    0.17939 
   -0.1990    0.34585    -3.8054    0.11866 
    0.3667    0.09403    -3.9681    0.17260 
   -1.0101    2.23866    -3.6879    0.09054 
    0.1697    0.14799    -4.0412    0.20422 
    0.0453    0.19709    -3.7666    0.10853 
    0.2652    0.11877    -3.7067    0.09455 
    0.4736    0.07351    -3.4055    0.04725 
   -0.3819    0.52707    -3.7037    0.09390 
    0.3923    0.08863    -4.9166    1.53287 
   -0.5957    0.86220    -3.8741    0.13901 
    0.1340    0.16065    -4.4526    0.52665 
   -0.3634    0.50508    -3.9261    0.15669 
    0.4427    0.07893    -4.8041    1.18310 
   -0.5877    0.84644    -4.8024    1.17849 
    0.3586    0.09580    -3.4952    0.05809 
   -1.0684    2.56072    -4.0232    0.19595 
    0.3384    0.10034    -3.5525    0.06628 
   -0.1551    0.31259    -3.5982    0.07365 
   -0.2293    0.37088    -3.9413    0.16225 
   -0.5085    0.70534    -3.7756    0.11079 
    0.0284    0.20491    -3.7346    0.10081 
   -0.5318    0.74429    -3.6784    0.08858 
   -0.0007    0.21911    -3.8802    0.14096 
   -0.5907    0.85239    -3.1035    0.02357 
   -0.5768    0.82552    -3.5669    0.06852 
    0.5262    0.06512    -4.1030    0.23546 
    0.4105    0.08501    -3.8827    0.14178 
   -0.2245    0.36680    -4.3968    0.46321 
   -0.1674    0.32160    -4.2420    0.32432 
    0.4193    0.08329    -3.6399    0.08107 
    0.4957    0.06986    -3.8441    0.12974 
    0.0745    0.18425    -4.7932    1.15381 
    0.1453    0.15654    -3.4529    0.05271 
    0.3714    0.09300    -2.7839    0.01129 
   -0.0159    0.22690    -3.0599    0.02132 
   -0.5526    0.78073    -2.8606    0.01348 
    0.3277    0.10286    -2.6373    0.00806 
    0.6184    0.05266    -2.7881    0.01140 
    0.1242    0.16433    -3.3596    0.04251 
    0.2467    0.12393    -3.4756    0.05554 
    0.2409    0.12560    -3.9366    0.16052 
   -1.1920    3.40371    -4.1450    0.25935 
   -0.0489    0.24478    -4.4545    0.52892 
    0.3719    0.09291    -3.0431    0.02051 
    0.3924    0.08863    -4.2562    0.33508 
   -1.4145    5.68129    -3.9714    0.17392 
   -0.1052    0.27870    -3.6129    0.07617 
    0.5601    0.06023    -2.7233    0.00982 
    0.6135    0.05326    -2.4795    0.00560 
    0.7946    0.03510    -2.5177    0.00612 
    0.7824    0.03610    -2.3802    0.00446 
    0.3741    0.09244    -1.7366    0.00101 
    0.3870    0.08973    -1.9364    0.00160 
    0.3666    0.09404    -2.3999    0.00467 
    0.5680    0.05914    -2.9822    0.01783 
    0.3112    0.10683    -3.0778    0.02222 
   -0.2390    0.37921    -3.1104    0.02395 
   -0.0921    0.27038    -3.4424    0.05145 
   -0.0972    0.27361    -5.0830    2.24859 
   -0.9304    1.86354    -4.3750    0.44053 
    0.0977    0.17467    -4.7067    0.94536 
    0.3036    0.10871    -3.5230    0.06193 
    0.4368    0.08000    -3.8090    0.11967 
    0.3412    0.09971    -3.7702    0.10943 
    0.4475    0.07806    -3.8293    0.12537 
   -0.2241    0.36645    -3.5798    0.07059 
    0.1376    0.15933    -2.5856    0.00715 
    0.7225    0.04144    -2.6123    0.00761 
    0.6758    0.04614    -2.3673    0.00433 
    0.8064    0.03416    -2.2916    0.00363 
    0.9660    0.02365    -2.2666    0.00343 
    0.9658    0.02367    -2.1075    0.00238 
    1.1780    0.01452    -2.1840    0.00284 
    0.7606    0.03796    -2.5198    0.00615 
   -0.2831    0.41975    -3.1688    0.02740 
    0.0656    0.18808    -3.5814    0.07084 
   -0.1836    0.33382    -3.0102    0.01902 
    0.2151    0.13328    -3.6652    0.08592 
   -0.5400    0.75841    -3.7344    0.10077 
    0.5503    0.06160    -3.2463    0.03275 
   -2.0701   25.70713    -3.6361    0.08036 
   -0.0544    0.24790    -3.6990    0.09289 
    0.3476    0.09825    -3.6719    0.08727 
    0.5730    0.05846    -3.7721    0.10990 
   -0.2055    0.35109    -4.0737    0.22011 
    0.4513    0.07738    -2.3318    0.00399 
    1.1057    0.01715    -1.6742    0.00088 
    0.9667    0.02362    -2.2351    0.00319 
    0.6347    0.05072    -2.8193    0.01225 
    0.9634    0.02380    -2.7333    0.01005 
    1.1254    0.01639    -1.6393    0.00081 
    0.7833    0.03603    -2.5130    0.00605 
    0.3696    0.09340    -3.3567    0.04223 
    0.4058    0.08593    -2.9846    0.01793 
    0.1984    0.13854    -3.1719    0.02760 
    0.2811    0.11451    -3.4675    0.05451 
   -0.2066    0.35202    -4.8424    1.29210 
    0.2233    0.13081    -4.5015    0.58948 
    0.5578    0.06054    -3.5738    0.06961 
   -0.1814    0.33212    -2.7303    0.00998 
    0.0902    0.17771    -3.5223    0.06184 
    0.3305    0.10219    -3.9035    0.14873 
    0.0207    0.20857    -3.2286    0.03144 
    0.6342    0.05079    -2.8835    0.01421 
    0.5313    0.06436    -2.7939    0.01156 
    0.6530    0.04863    -3.5999    0.07394 
   -0.2314    0.37267    -2.8260    0.01244 
    0.9680    0.02354    -2.1191    0.00244 
    1.1198    0.01660    -2.5413    0.00646 
    0.9861    0.02258    -2.6788    0.00887 
    0.7885    0.03560    -2.8645    0.01360 
    0.8273    0.03256    -2.7881    0.01140 
    0.6595    0.04791    -2.4642    0.00541 
    0.9430    0.02494    -2.9617    0.01701 
    0.7515    0.03877    -2.8999    0.01475 
    0.0293    0.20445    -2.9149    0.01527 
    0.4837    0.07181    -3.2430    0.03250 
   -0.0483    0.24448    -3.2197    0.03080 
    0.2937    0.11124    -4.0890    0.22800 
   -2.1808   33.17025    -4.0433    0.20522 
   -0.0724    0.25840    -3.9038    0.14886 
   -0.1915    0.33997    -3.8681    0.13711 
    0.3947    0.08815    -3.4253    0.04946 
    0.5065    0.06814    -3.6324    0.07967 
    0.3233    0.10390    -3.4514    0.05253 
    0.7122    0.04244    -3.2085    0.03002 
    0.9652    0.02370    -2.2046    0.00298 
    0.9162    0.02653    -2.0776    0.00222 
    0.7528    0.03865    -2.7132    0.00960 
    1.0296    0.02043    -2.1069    0.00238 
    1.0986    0.01743    -2.2707    0.00346 
    0.9874    0.02252    -2.6664    0.00862 
    0.7917    0.03533    -2.4288    0.00499 
    1.0425    0.01984    -2.2948    0.00366 
    1.0108    0.02133    -2.0858    0.00226 
    0.9808    0.02286    -2.4536    0.00528 
    0.8672    0.02970    -2.8632    0.01356 
    0.8239    0.03281    -3.7943    0.11569 
    0.7229    0.04140    -3.2525    0.03322 
    0.6172    0.05281    -3.6344    0.08005 
